order_line_id,order_id,customer_id,product_id,quantity,unit_price,order_ts,status,coupon_code
L0000001,O000001,C00628,P0123,1,106.28,2026-02-20 07:14:43,completed,FESTIVE20
L0000002,O000001,C00628,P0096,1,267.14,2026-02-20 07:14:43,completed,WELCOME15
L0000003,O000002,C00141,P0057,2,22.09,2026-02-07 07:02:26,completed,
L0000004,O000002,C00141,P0017,1,53.8,2026-02-07 07:02:26,completed,FESTIVE20
L0000005,O000002,C00141,P0126,1,107.67,2026-02-07 07:02:26,completed,FESTIVE20
L0000006,O000002,C00141,P0110,1,27.62,2026-02-07 07:02:26,completed,
L0000007,O000003,C00845,P0165,2,63.33,2026-04-24 10:25:39,cancelled,
L0000008,O000004,C00463,P0011,1,64.02,2026-04-27 01:56:15,returned,
L0000009,O000004,C00463,P0113,1,319.88,2026-04-27 01:56:15,returned,
L0000010,O000004,C00463,P0074,1,156.41,2026-04-27 01:56:15,returned,WELCOME15
L0000011,O000004,C00463,P0014,1,122.93,2026-04-27 01:56:15,returned,
L0000012,O000005,C00662,P0179,1,117.15,2026-04-03 23:32:07,completed,WELCOME15
L0000013,O000005,C00662,P0116,1,23.68,2026-04-03 23:32:07,completed,FESTIVE20
L0000014,O000005,C00662,P0183,2,316.89,2026-04-03 23:32:07,completed,FESTIVE20
L0000015,O000006,C00332,P0181,1,37.31,2026-06-21 22:50:10,cancelled,SAVE10
L0000016,O000007,C00725,P0044,3,347.14,2026-04-24 16:39:10,completed,
L0000017,O000008,C00149,P0115,1,185.96,2026-02-25 22:03:26,completed,
L0000018,O000008,C00149,P0034,3,277.67,2026-02-25 22:03:26,completed,
L0000019,O000009,C00260,P0127,1,230.01,2026-01-15 15:54:31,returned,FESTIVE20
L0000020,O000009,C00260,P0114,1,58.18,2026-01-15 15:54:31,returned,
L0000021,O000010,C00561,P0168,1,92.75,2026-03-20 20:35:52,COMPLETED,
L0000022,O000011,C00684,P0046,1,76.23,2026-05-27 19:19:21,COMPLETED,
L0000023,O000012,C00709,P0093,3,150.84,2026-06-20 18:50:35,completed,
L0000024,O000012,C00709,P0083,1,184.92,2026-06-20 18:50:35,completed,WELCOME15
L0000025,O000013,C00777,P0071,1,248.02,2026-04-27 17:04:18,completed,WELCOME15
L0000026,O000013,C00777,P0179,1,117.15,2026-04-27 17:04:18,completed,
L0000027,O000014,C00748,P0181,1,37.31,2026-06-17 02:30:46,cancelled,SAVE10
L0000028,O000014,C00748,P0148,-1,153.07,2026-06-17 02:30:46,cancelled,SAVE10
L0000029,O000015,C00630,P0157,1,310.93,2026-05-16 16:46:40,completed,
L0000030,O000016,C00002,P0158,-1,317.86,2026-01-01 14:40:50,completed,WELCOME15
L0000031,O000017,C00359,P0018,1,360.22,2026-05-26 20:13:00,cancelled,SAVE10
L0000032,O000018,C00117,P0045,1,26.03,2026-06-11 10:25:46,returned,SAVE10
L0000033,O000019,C00491,P0138,2,393.73,2026-04-26 01:41:08,completed,FESTIVE20
L0000034,O000020,C00424,P0005,1,281.95,2026-06-02 16:19:36,cancelled,SAVE10
L0000035,O000020,C00424,P0091,1,107.19,2026-06-02 16:19:36,cancelled,
L0000036,O000021,C00032,P0153,1,24.62,2026-03-13 20:34:53,completed,
L0000037,O000022,C00323,P0078,1,264.4,2026-06-02 08:26:05,completed,
L0000038,O000023,C00384,P0129,1,208.4,2026-01-25 06:58:05,completed,SAVE10
L0000039,O000023,C00384,P0188,2,82.45,2026-01-25 06:58:05,completed,
L0000040,O000024,C00147,P0183,2,316.89,2026-01-27 16:43:08,completed,
L0000040,O000024,C00147,P0183,2,316.89,2026-01-27 16:43:08,completed,
L0000041,O000025,C00955,P0134,2,116.14,2026-01-22 19:55:05,completed,
L0000042,O000026,C00777,P0113,1,319.88,2026-03-21 06:20:12,completed,
L0000043,O000027,C00281,P0082,1,210.85,2026-01-01 19:35:32,completed,
L0000044,O000028,C00176,P0121,3,257.46,2026-01-10 19:57:21,returned,
L0000045,O000029,C00056,P0177,1,322.68,2026-01-14 12:11:45,returned,SAVE10
L0000046,O000029,C00056,P0051,2,83.38,2026-01-14 12:11:45,returned,
